Ref_Date,GEO,LEVEL,SOURCE,STATS,Value
2000,Canada,College,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation ($25,000 and over)",12
2005,Canada,College,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation ($25,000 and over)",12
2010,Canada,College,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation ($25,000 and over)",14
2000,Canada,College,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation (dollars),12500
2005,Canada,College,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation (dollars),12700
2010,Canada,College,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation (dollars),14000
2000,Canada,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,17
2005,Canada,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,19
2010,Canada,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,28
2000,Canada,College,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed (dollars),10300
2005,Canada,College,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed (dollars),10900
2010,Canada,College,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed (dollars),11200
2000,Canada,College,Graduates who owed money for their education to non-government sources,Percentage of graduates who owed debt to the source,16
2005,Canada,College,Graduates who owed money for their education to non-government sources,Percentage of graduates who owed debt to the source,20
2010,Canada,College,Graduates who owed money for their education to non-government sources,Percentage of graduates who owed debt to the source,22
2000,Canada,College,Graduates who owed money for their education to non-government sources,"Percentage of graduates with large debt at graduation ($25,000 and over)",2
2005,Canada,College,Graduates who owed money for their education to non-government sources,"Percentage of graduates with large debt at graduation ($25,000 and over)",6
2010,Canada,College,Graduates who owed money for their education to non-government sources,"Percentage of graduates with large debt at graduation ($25,000 and over)",7
2000,Canada,College,Graduates who owed money for their education to non-government sources,Average debt owed to the source at time of graduation (dollars),6800
2005,Canada,College,Graduates who owed money for their education to non-government sources,Average debt owed to the source at time of graduation (dollars),9000
2010,Canada,College,Graduates who owed money for their education to non-government sources,Average debt owed to the source at time of graduation (dollars),10000
2000,Canada,College,Graduates who owed money for their education to non-government sources,Percentage of graduates with debt who had paid it off  at time of interview,40
2005,Canada,College,Graduates who owed money for their education to non-government sources,Percentage of graduates with debt who had paid it off  at time of interview,38
2010,Canada,College,Graduates who owed money for their education to non-government sources,Percentage of graduates with debt who had paid it off  at time of interview,57
2000,Canada,College,Graduates who owed money for their education to non-government sources,Average debt remaining at time of interview for those who still owed (dollars),6800
2005,Canada,College,Graduates who owed money for their education to non-government sources,Average debt remaining at time of interview for those who still owed (dollars),9100
2010,Canada,College,Graduates who owed money for their education to non-government sources,Average debt remaining at time of interview for those who still owed (dollars),9600
2000,Canada,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates who owed debt to the source,53
2005,Canada,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates who owed debt to the source,54
2010,Canada,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates who owed debt to the source,50
2000,Canada,Bachelor's,Graduates who owed money for their education to any source (government or non-government),"Percentage of graduates with large debt at graduation ($25,000 and over)",33
2005,Canada,Bachelor's,Graduates who owed money for their education to any source (government or non-government),"Percentage of graduates with large debt at graduation ($25,000 and over)",37
2010,Canada,Bachelor's,Graduates who owed money for their education to any source (government or non-government),"Percentage of graduates with large debt at graduation ($25,000 and over)",41
2000,Canada,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Average debt owed to the source at time of graduation (dollars),20500
2005,Canada,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Average debt owed to the source at time of graduation (dollars),22800
2010,Canada,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Average debt owed to the source at time of graduation (dollars),26300
2000,Canada,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates with debt who had paid it off  at time of interview,22
2005,Canada,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates with debt who had paid it off  at time of interview,28
2010,Canada,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates with debt who had paid it off  at time of interview,34
2000,Canada,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Average debt remaining at time of interview for those who still owed (dollars),17100
2005,Canada,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Average debt remaining at time of interview for those who still owed (dollars),20400
2010,Canada,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Average debt remaining at time of interview for those who still owed (dollars),19800
2000,Canada,Bachelor's,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,45
2005,Canada,Bachelor's,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,43
2010,Canada,Bachelor's,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,39
2000,Canada,Bachelor's,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation ($25,000 and over)",32
2005,Canada,Bachelor's,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation ($25,000 and over)",32
2010,Canada,Bachelor's,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation ($25,000 and over)",39
2000,Canada,Bachelor's,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation (dollars),19600
2005,Canada,Bachelor's,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation (dollars),19600
2010,Canada,Bachelor's,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation (dollars),22300
2000,Canada,Bachelor's,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,21
2005,Canada,Bachelor's,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,28
2010,Canada,Bachelor's,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,32
2000,Canada,Bachelor's,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed (dollars),16300
2005,Canada,Bachelor's,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed (dollars),16900
2010,Canada,Bachelor's,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed (dollars),16300
2000,Canada,Bachelor's,Graduates who owed money for their education to non-government sources,Percentage of graduates who owed debt to the source,19
2005,Canada,Bachelor's,Graduates who owed money for their education to non-government sources,Percentage of graduates who owed debt to the source,26
2010,Canada,Bachelor's,Graduates who owed money for their education to non-government sources,Percentage of graduates who owed debt to the source,26
2000,Canada,Bachelor's,Graduates who owed money for their education to non-government sources,"Percentage of graduates with large debt at graduation ($25,000 and over)",10
2005,Canada,Bachelor's,Graduates who owed money for their education to non-government sources,"Percentage of graduates with large debt at graduation ($25,000 and over)",15
2010,Canada,Bachelor's,Graduates who owed money for their education to non-government sources,"Percentage of graduates with large debt at graduation ($25,000 and over)",21
2000,Canada,Bachelor's,Graduates who owed money for their education to non-government sources,Average debt owed to the source at time of graduation (dollars),10800
2005,Canada,Bachelor's,Graduates who owed money for their education to non-government sources,Average debt owed to the source at time of graduation (dollars),14600
2010,Canada,Bachelor's,Graduates who owed money for their education to non-government sources,Average debt owed to the source at time of graduation (dollars),17700
2000,Canada,Bachelor's,Graduates who owed money for their education to non-government sources,Percentage of graduates with debt who had paid it off  at time of interview,38
2005,Canada,Bachelor's,Graduates who owed money for their education to non-government sources,Percentage of graduates with debt who had paid it off  at time of interview,38
2010,Canada,Bachelor's,Graduates who owed money for their education to non-government sources,Percentage of graduates with debt who had paid it off  at time of interview,48
2000,Canada,Bachelor's,Graduates who owed money for their education to non-government sources,Average debt remaining at time of interview for those who still owed (dollars),10600
2005,Canada,Bachelor's,Graduates who owed money for their education to non-government sources,Average debt remaining at time of interview for those who still owed (dollars),16200
2010,Canada,Bachelor's,Graduates who owed money for their education to non-government sources,Average debt remaining at time of interview for those who still owed (dollars),16700
2000,Canada,Master's,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates who owed debt to the source,45
2005,Canada,Master's,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates who owed debt to the source,46
2010,Canada,Master's,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates who owed debt to the source,44
2000,Canada,Master's,Graduates who owed money for their education to any source (government or non-government),"Percentage of graduates with large debt at graduation ($25,000 and over)",30
2005,Canada,Master's,Graduates who owed money for their education to any source (government or non-government),"Percentage of graduates with large debt at graduation ($25,000 and over)",35
2010,Canada,Master's,Graduates who owed money for their education to any source (government or non-government),"Percentage of graduates with large debt at graduation ($25,000 and over)",41
2000,Canada,Master's,Graduates who owed money for their education to any source (government or non-government),Average debt owed to the source at time of graduation (dollars),20300
2005,Canada,Master's,Graduates who owed money for their education to any source (government or non-government),Average debt owed to the source at time of graduation (dollars),22800
2010,Canada,Master's,Graduates who owed money for their education to any source (government or non-government),Average debt owed to the source at time of graduation (dollars),26600
2000,Canada,Master's,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates with debt who had paid it off  at time of interview,27
2005,Canada,Master's,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates with debt who had paid it off  at time of interview,32
2010,Canada,Master's,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates with debt who had paid it off  at time of interview,44
2000,Canada,Master's,Graduates who owed money for their education to any source (government or non-government),Average debt remaining at time of interview for those who still owed (dollars),17600
2005,Canada,Master's,Graduates who owed money for their education to any source (government or non-government),Average debt remaining at time of interview for those who still owed (dollars),19500
2010,Canada,Master's,Graduates who owed money for their education to any source (government or non-government),Average debt remaining at time of interview for those who still owed (dollars),21000
2000,Canada,Master's,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,38
2005,Canada,Master's,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,34
2010,Canada,Master's,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,30
2000,Canada,Master's,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation ($25,000 and over)",26
2005,Canada,Master's,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation ($25,000 and over)",27
2010,Canada,Master's,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation ($25,000 and over)",34
2000,Canada,Master's,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation (dollars),18400
2005,Canada,Master's,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation (dollars),19000
2010,Canada,Master's,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation (dollars),20600
2000,Canada,Master's,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,26
2005,Canada,Master's,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,32
2010,Canada,Master's,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,41
2000,Canada,Master's,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed (dollars),16100
2005,Canada,Master's,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed (dollars),15800
2010,Canada,Master's,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed (dollars),16000
2000,Canada,Master's,Graduates who owed money for their education to non-government sources,Percentage of graduates who owed debt to the source,15
2005,Canada,Master's,Graduates who owed money for their education to non-government sources,Percentage of graduates who owed debt to the source,23
2010,Canada,Master's,Graduates who owed money for their education to non-government sources,Percentage of graduates who owed debt to the source,25
2000,Canada,Master's,Graduates who owed money for their education to non-government sources,"Percentage of graduates with large debt at graduation ($25,000 and over)",18
2005,Canada,Master's,Graduates who owed money for their education to non-government sources,"Percentage of graduates with large debt at graduation ($25,000 and over)",25
2010,Canada,Master's,Graduates who owed money for their education to non-government sources,"Percentage of graduates with large debt at graduation ($25,000 and over)",29
2000,Canada,Master's,Graduates who owed money for their education to non-government sources,Average debt owed to the source at time of graduation (dollars),14100
2005,Canada,Master's,Graduates who owed money for their education to non-government sources,Average debt owed to the source at time of graduation (dollars),18400
2010,Canada,Master's,Graduates who owed money for their education to non-government sources,Average debt owed to the source at time of graduation (dollars),22000
2000,Canada,Master's,Graduates who owed money for their education to non-government sources,Percentage of graduates with debt who had paid it off  at time of interview,39
2005,Canada,Master's,Graduates who owed money for their education to non-government sources,Percentage of graduates with debt who had paid it off  at time of interview,37
2010,Canada,Master's,Graduates who owed money for their education to non-government sources,Percentage of graduates with debt who had paid it off  at time of interview,51
2000,Canada,Master's,Graduates who owed money for their education to non-government sources,Average debt remaining at time of interview for those who still owed (dollars),14000
2005,Canada,Master's,Graduates who owed money for their education to non-government sources,Average debt remaining at time of interview for those who still owed (dollars),17500
2010,Canada,Master's,Graduates who owed money for their education to non-government sources,Average debt remaining at time of interview for those who still owed (dollars),19600
2000,Canada,Doctorate,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates who owed debt to the source,45
2005,Canada,Doctorate,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates who owed debt to the source,44
2010,Canada,Doctorate,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates who owed debt to the source,41
2000,Canada,Doctorate,Graduates who owed money for their education to any source (government or non-government),"Percentage of graduates with large debt at graduation ($25,000 and over)",35
2005,Canada,Doctorate,Graduates who owed money for their education to any source (government or non-government),"Percentage of graduates with large debt at graduation ($25,000 and over)",39
2010,Canada,Doctorate,Graduates who owed money for their education to any source (government or non-government),"Percentage of graduates with large debt at graduation ($25,000 and over)",49
2000,Canada,Doctorate,Graduates who owed money for their education to any source (government or non-government),Average debt owed to the source at time of graduation (dollars),23900
2005,Canada,Doctorate,Graduates who owed money for their education to any source (government or non-government),Average debt owed to the source at time of graduation (dollars),25600
2010,Canada,Doctorate,Graduates who owed money for their education to any source (government or non-government),Average debt owed to the source at time of graduation (dollars),41100
2000,Canada,Doctorate,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates with debt who had paid it off  at time of interview,27
2005,Canada,Doctorate,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates with debt who had paid it off  at time of interview,30
2010,Canada,Doctorate,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates with debt who had paid it off  at time of interview,36
2000,Canada,Doctorate,Graduates who owed money for their education to any source (government or non-government),Average debt remaining at time of interview for those who still owed (dollars),20600
2005,Canada,Doctorate,Graduates who owed money for their education to any source (government or non-government),Average debt remaining at time of interview for those who still owed (dollars),22500
2010,Canada,Doctorate,Graduates who owed money for their education to any source (government or non-government),Average debt remaining at time of interview for those who still owed (dollars),40200
2000,Canada,Doctorate,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,38
2005,Canada,Doctorate,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,34
2010,Canada,Doctorate,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,32
2000,Canada,Doctorate,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation ($25,000 and over)",27
2005,Canada,Doctorate,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation ($25,000 and over)",36
2010,Canada,Doctorate,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation ($25,000 and over)",35
2000,Canada,Doctorate,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation (dollars),18900
2005,Canada,Doctorate,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation (dollars),22900
2010,Canada,Doctorate,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation (dollars),23200
2000,Canada,Doctorate,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,28
2005,Canada,Doctorate,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,30
2010,Canada,Doctorate,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,33
2000,Canada,Doctorate,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed (dollars),16400
2005,Canada,Doctorate,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed (dollars),19700
2010,Canada,Doctorate,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed (dollars),17700
2000,Canada,Doctorate,Graduates who owed money for their education to non-government sources,Percentage of graduates who owed debt to the source,19
2005,Canada,Doctorate,Graduates who owed money for their education to non-government sources,Percentage of graduates who owed debt to the source,20
2010,Canada,Doctorate,Graduates who owed money for their education to non-government sources,Percentage of graduates who owed debt to the source,23
2000,Canada,Doctorate,Graduates who owed money for their education to non-government sources,"Percentage of graduates with large debt at graduation ($25,000 and over)",25
2005,Canada,Doctorate,Graduates who owed money for their education to non-government sources,"Percentage of graduates with large debt at graduation ($25,000 and over)",19
2010,Canada,Doctorate,Graduates who owed money for their education to non-government sources,"Percentage of graduates with large debt at graduation ($25,000 and over)",47
2000,Canada,Doctorate,Graduates who owed money for their education to non-government sources,Average debt owed to the source at time of graduation (dollars),19300
2005,Canada,Doctorate,Graduates who owed money for their education to non-government sources,Average debt owed to the source at time of graduation (dollars),17300
2010,Canada,Doctorate,Graduates who owed money for their education to non-government sources,Average debt owed to the source at time of graduation (dollars),40100
2000,Canada,Doctorate,Graduates who owed money for their education to non-government sources,Percentage of graduates with debt who had paid it off  at time of interview,34
2005,Canada,Doctorate,Graduates who owed money for their education to non-government sources,Percentage of graduates with debt who had paid it off  at time of interview,36
2010,Canada,Doctorate,Graduates who owed money for their education to non-government sources,Percentage of graduates with debt who had paid it off  at time of interview,48
2000,Canada,Doctorate,Graduates who owed money for their education to non-government sources,Average debt remaining at time of interview for those who still owed (dollars),17900
2005,Canada,Doctorate,Graduates who owed money for their education to non-government sources,Average debt remaining at time of interview for those who still owed (dollars),17200
2010,Canada,Doctorate,Graduates who owed money for their education to non-government sources,Average debt remaining at time of interview for those who still owed (dollars),54800
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates who owed debt to the source,59
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates who owed debt to the source,55
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates who owed debt to the source,44
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to any source (government or non-government),"Percentage of graduates with large debt at graduation ($25,000 and over)",18
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to any source (government or non-government),"Percentage of graduates with large debt at graduation ($25,000 and over)",23
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to any source (government or non-government),"Percentage of graduates with large debt at graduation ($25,000 and over)",25
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to any source (government or non-government),Average debt owed to the source at time of graduation (dollars),15400
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to any source (government or non-government),Average debt owed to the source at time of graduation (dollars),17500
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to any source (government or non-government),Average debt owed to the source at time of graduation (dollars),16400
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates with debt who had paid it off  at time of interview,8
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates with debt who had paid it off  at time of interview,12
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates with debt who had paid it off  at time of interview,24
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to any source (government or non-government),Average debt remaining at time of interview for those who still owed (dollars),13900
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to any source (government or non-government),Average debt remaining at time of interview for those who still owed (dollars),14400
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to any source (government or non-government),Average debt remaining at time of interview for those who still owed (dollars),12100
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,54
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,49
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,35
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation ($25,000 and over)",17
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation ($25,000 and over)",23
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation ($25,000 and over)",25
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation (dollars),15200
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation (dollars),17400
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation (dollars),16300
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,7
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,10
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,20
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed (dollars),13900
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed (dollars),14500
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed (dollars),10400
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to non-government sources,Percentage of graduates who owed debt to the source,12
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to non-government sources,Percentage of graduates who owed debt to the source,13
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to non-government sources,Percentage of graduates who owed debt to the source,15
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to non-government sources,"Percentage of graduates with large debt at graduation ($25,000 and over)",x
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to non-government sources,"Percentage of graduates with large debt at graduation ($25,000 and over)",x
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to non-government sources,"Percentage of graduates with large debt at graduation ($25,000 and over)",F
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to non-government sources,Average debt owed to the source at time of graduation (dollars),7300
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to non-government sources,Average debt owed to the source at time of graduation (dollars),8000
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to non-government sources,Average debt owed to the source at time of graduation (dollars),12000
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to non-government sources,Percentage of graduates with debt who had paid it off  at time of interview,28
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to non-government sources,Percentage of graduates with debt who had paid it off  at time of interview,39
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to non-government sources,Percentage of graduates with debt who had paid it off  at time of interview,47
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to non-government sources,Average debt remaining at time of interview for those who still owed (dollars),7000
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to non-government sources,Average debt remaining at time of interview for those who still owed (dollars),7900
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to non-government sources,Average debt remaining at time of interview for those who still owed (dollars),13400
2000,Newfoundland and Labrador,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates who owed debt to the source,78
2005,Newfoundland and Labrador,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates who owed debt to the source,71
2010,Newfoundland and Labrador,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates who owed debt to the source,59
2000,Newfoundland and Labrador,Bachelor's,Graduates who owed money for their education to any source (government or non-government),"Percentage of graduates with large debt at graduation ($25,000 and over)",62
2005,Newfoundland and Labrador,Bachelor's,Graduates who owed money for their education to any source (government or non-government),"Percentage of graduates with large debt at graduation ($25,000 and over)",61
2010,Newfoundland and Labrador,Bachelor's,Graduates who owed money for their education to any source (government or non-government),"Percentage of graduates with large debt at graduation ($25,000 and over)",55
2000,Newfoundland and Labrador,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Average debt owed to the source at time of graduation (dollars),31100
2005,Newfoundland and Labrador,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Average debt owed to the source at time of graduation (dollars),31600
2010,Newfoundland and Labrador,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Average debt owed to the source at time of graduation (dollars),32700
2000,Newfoundland and Labrador,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates with debt who had paid it off  at time of interview,9
2005,Newfoundland and Labrador,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates with debt who had paid it off  at time of interview,15
2010,Newfoundland and Labrador,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates with debt who had paid it off  at time of interview,29
2000,Newfoundland and Labrador,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Average debt remaining at time of interview for those who still owed (dollars),26800
2005,Newfoundland and Labrador,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Average debt remaining at time of interview for those who still owed (dollars),27200
2010,Newfoundland and Labrador,Bachelor's,Graduates who owed money for their education to any source (government or non-government),Average debt remaining at time of interview for those who still owed (dollars),24900
2000,Newfoundland and Labrador,Bachelor's,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,75
2005,Newfoundland and Labrador,Bachelor's,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,65
